n_cases,runtime_seconds_graph,runtime_seconds_LS,runtime_seconds_ilp
1,,,0.2
6,,,0.7
10,0.0009249310006,1.8,
11,,,2.6
16,,,3.7
20,0.001920076,,
21,,,6.1
26,,,11.8
30,0.003547991,1.8,
31,,,17.4
36,,,32.2
40,0.007325154,,
41,,,249.5
46,,,427.7
50,0.010628993,1.8,
51,,,977.6
56,,,923.7
60,0.015814909,,
61,,,1550.4
66,,,1745.2
70,0.026691742,2.2,
76,,,5636
80,0.037905888,,
90,0.050053767,2.2,
100,0.070482624,,
110,0.091097756,2.4,
120,0.132404701,,
130,0.165843867,7,
140,0.178187049,,
150,0.208591447,4.7,
160,0.250819833,,
170,0.30941156,11.9,
180,0.379779055,,
190,0.434768842,4.9,
200,0.444587006,,
210,0.508945118,9.5,
220,0.680792815,,
230,0.794100764,7.2,
240,0.846856768,,
250,0.913057938,11.6,
260,0.97606676,,
270,1.176033636,5,
280,1.207882465,,
290,1.325199531,11.6,
300,1.634161031,,
310,1.716058114,7.3,
320,1.831543495,,
330,1.8952038,13.9,
340,2.239306904,,
350,2.451184195,7.4,
360,2.553425785,,
370,3.062388055,21.1,
380,3.018006441,,
390,3.315250851,21.3,
400,3.555698189,,
410,3.791255444,25.6,
420,4.142382549,,
430,4.490991096,10.1,
440,4.836380081,,
450,5.110367203,10.4,
460,5.707693976,,
470,6.135140386,30.8,
480,6.962661174,,
490,7.074605134,12.8,
500,6.8112295,,
510,8.261497198,34.3,
520,7.82628027,,
530,8.66720677,22.4,
540,9.325394133,,
550,10.36859538,29.7,
560,10.40119769,,
570,11.19780644,31.8,
580,11.05343549,,
590,11.21988984,29.4,
600,11.62216058,,
610,12.78152725,13.6,
620,13.99928835,,
630,14.93838238,32.4,
640,16.05121466,,
650,17.54784034,65,
660,18.3161051,,
670,18.95351153,,
680,19.99725593,,
690,19.37645781,19.4,
700,19.83661807,,
710,20.9583487,28.5,
720,21.3826704,,
730,22.82383502,35.5,
740,23.03408539,,
750,24.37603731,75,
760,25.38025611,,
770,25.83957547,106.8,
780,26.96491019,,
790,27.24831701,31.1,
800,29.92964331,,
810,30.8529035,33.5,
820,32.35249905,,
830,31.66210299,31.2,
840,33.04039341,,
850,34.76736259,53.7,
860,37.66847507,,
870,39.28689752,46.9,
880,40.0050567,,
890,39.45081253,71.9,
900,42.7494491,,
910,42.45168547,63.1,
920,45.96319832,,
930,49.01871088,39.6,
940,50.93205239,,
950,54.237827,63.2,
960,53.77113048,,
970,55.57801691,35.5,
980,55.89209951,,
990,56.21598402,30.6,
1000,58.77702776,,
1010,61.17695167,40.5,
1020,62.59171963,,
1030,65.76190766,51.1,
1040,67.78277748,,
1050,67.56328927,35.6,
1060,73.3131236,,
1070,74.82814669,119.2,
1080,77.00544931,,
1090,80.86681006,,
1100,82.09581754,,
1110,84.09241759,64.3,
1120,84.77904916,,
1130,89.79995237,70.3,
1140,92.6800393,,
1150,95.3522726,80.7,
1160,96.82493541,,
1170,96.47814778,126.3,
1180,102.0498865,,
1190,105.9340301,150.8,
1200,105.5264804,,
1210,109.619056,100.3,
1220,109.0840403,,
1230,110.7704352,119.7,
1240,115.032568,,
1250,119.3319903,179.3,
1260,119.3196333,,
1270,124.8753561,106.5,
1280,131.1162336,,
1290,134.5854619,103.2,
1300,135.2702565,,
1310,139.5824309,,
1320,143.8949181,,
1330,147.7868585,147.4,
1340,145.3357539,,
1350,149.9618212,102.2,
1360,155.8938375,,
1370,158.3064668,77.8,
1380,164.4701285,,
1390,163.4255758,166.3,
1400,171.4383167,,
1410,177.3647975,153.2,
1420,179.9850631,,
1430,183.669782,,
1440,185.1505634,,
1450,191.7272711,190.6,
1460,200.822362,,
1470,202.2014097,128.9,
1480,203.8472807,,
1490,208.0454885,214.7,
1500,222.4460565,,
1500,223.1821452,,
1520,232.1363245,,
1530,,126.9,
1540,234.4180667,,
1550,,140.1,
1560,248.7261999,,
1580,255.9163025,,
1590,,118.8,
1600,260.9823617,,
1620,266.2573873,,
1630,,141.9,
1640,286.8149654,,
1650,,92,
1660,291.8614301,,
1670,,178.9,
1680,290.203504,,
1690,,147.2,
1700,307.3371774,,
1710,,132.7,
1720,311.2229991,,
1730,,103.1,
1740,332.2640257,,
1750,,211.5,
1760,335.942355,,
1770,,212.3,
1780,356.9548894,,
1790,,180.5,
1800,373.7612383,,
1810,,142.9,
1820,375.1289096,,
1830,,119,
1840,407.5056207,,
1860,417.6696965,,
1870,,253.4,
1880,429.9295182,,
1900,450.5081539,,
1910,,213.1,
1920,450.3368657,,
1930,,226.5,
1940,487.7924152,,
1950,,161.8,
1960,486.7522776,,
1970,,142.6,
1980,513.4031357,,
1990,,181.7,
2000,503.1654122,,
2010,,106.2,
2020,517.9796854,,
2030,,154,
2040,528.9018915,,
2050,,113.4,
2060,549.6296264,,
2070,,142.3,
2080,566.3561844,,
2090,,111.9,
2100,605.4046993,,
2110,,105.5,
2120,630.4703211,,
2130,,225.8,
2140,645.351878,,
2150,,252.9,
2160,638.441115,,
2170,,106.1,
2180,642.9123062,,
2190,,701,
2200,673.7093396,,
2210,,238.3,
2220,703.2429547,,
2230,,142.3,
2240,731.3686042,,
2250,,169.6,
2260,738.0514173,,
2270,,258.4,
2280,768.2796252,,
2290,,206.8,
2300,791.1501971,,
2320,798.9008865,,
2330,,562,
2340,818.8371451,,
2350,,270.3,
2360,842.1225006,,
2370,,166.3,
2380,856.0888627,,
2390,,179.3,
2400,899.3270288,,
2410,,141.7,
2420,918.9702784,,
2440,929.5641657,,
2460,954.1373162,,
2470,,130.9,
2480,994.9924724,,
2490,,288.7,
2500,998.9800399,,